email,name,phone_number,physical_address,postal_address
alawa.school@education.nt.gov.au,Alawa Primary School,(08) 899 77666,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT"
batchelor.as@education.nt.gov.au,Batchelor Area School,(08) 8976 0077,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT"
admin.borrosch@education.nt.gov.au,Borroloola School,(08) 8975 8780,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT"
acaciahill.school@education.nt.gov.au,Acacia Hill School,(08) 895 52222,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT"
mark.webster@education.nt.gov.au,Bonya School,(08) 8956 6352,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT"
berrysprings.primary@education.nt.gov.au,Berry Springs Primary School,(08) 8988 6006,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT"
elspeth.hurse@education.nt.gov.au,Belyuen School,(08) 8978 5085,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT"
office.barunga@education.nt.gov.au,Barunga School,(08) 8975 4502,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT"
bees.creek@education.nt.gov.au,Bees Creek Primary School,(08) 8983 3222,"20 Sattler Cres, Freds Pass, NT","PO Box 2271, PALMERSTON, 0831, NT"
adelaideriver.ps@education.nt.gov.au,Adelaide River School,(08) 8976 7034,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT"
cameron.adams@education.nt.gov.au,Baniyala Garrangali School,(08) 8987 9114,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT"
areyonga.school@education.nt.gov.au,Areyonga School,(08) 8956 7303,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT"
admin.bakewell@education.nt.gov.au,Bakewell Primary School,(08) 899 77400,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT"
stephen.nimmo@education.nt.gov.au,Arlparra School,(08) 8956 9178,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT"
admin.acc@ntschools.net,Araluen Christian School,(08) 8955 3300,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT"
anula.admin@education.nt.gov.au,Anula Primary School,(08) 899 77500,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT"
ZuccoliPrimary@ntschools.net,Zuccoli Primary School,(08) 792 30222,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT"
yulara.school@education.nt.gov.au,Yulara School,(08) 8956 2014,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT"
michael.timewell@education.nt.gov.au,Yuendumu School,(08) 8956 4011,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT"
admin.yirrkala@ntschools.net,Yirrkala School,(08) 898 71988,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT"
wulagi.primary@education.nt.gov.au,Wulagi Primary School,(08) 898 37800,"24 Brolga St, Wulagi, 0812, NT","24 Brolga St, WULAGI, 0812, NT"
info@yirara.nt.edu.au,Yirara College,(08) 8950 5644,"470 South Stuart Highway, Alice Springs, NT","PMB 51, Alice Springs, 0871, NT"
tba,Wurankuwu Homeland Learning Centre,(08) 8978 3986,"Community ID 868, Wurankuwu, NT","Nguiu, Bathurst Island, 0822, NT"
yipirinya@yipirinya.com.au,Yipirinya School,(08) 8952 5633,"Lovegrove Dr, Alice Springs, NT","C/- Yipirinya School Council Inc, PO Box 2363, Alice Springs, 0871, NT"
david.oke@education.nt.gov.au,Yarralin School,(08) 8975 0809,"N/A, Yarralin, NT","PMB 34, via Katherine, 0851, NT"
admin.xcec@nt.catholic.edu.au,Xavier CEC,(08) 8978 3970,"Kerinauia Hwy, Nguiu, NT","PMB 139,, via Winnellie, 0822, NT"
woolianna.school@education.nt.gov.au,Woolianna School,(08) 8978 2984 / 0477 333 413,"Wooliana Rd, Daly River, NT","PMB 194, Winnellie, 0821, NT"
admin.wugulsch@education.nt.gov.au,Wugularr School,(08) 8975 4529,"Laiwanga St, Wugularr, NT","PMB 6, Katherine, 0851, NT"
willowra.school@education.nt.gov.au,Willowra School,(08) 8956 8408,"N/A, Willowra, NT","PMB 102, via Alice Springs, 0872, NT"
admin.woolasch@education.nt.gov.au,Woolaning School,(08) 8978 2334,"Litchfield Park Rd, Litchfield Park, NT","PO Box 3261, Palmerston, 0831, NT"
woodroffe.ps@education.nt.gov.au,Woodroffe Primary School,(08) 898 37600,"55 Woodroffe Ave, Woodroffe, 0830, NT","PO Box 2021, PALMERSTON, 0831, NT"
larry.kenny@education.nt.gov.au,Watiyawanu School,(08) 8956 8555,"N/A, Mt Liebig, NT","PMB 111, via Alice Springs, 0872, NT"
christine.munro@education.nt.gov.au,Watarrka School,(08) 8956 7758,"n/a, Lilla Community, NT","Education Stores, Shed 9, 66A Smith St, Alice Springs, 0870, NT"
keira.stewart@education.nt.gov.au,Warruwi School,(08) 8979 0222,"N/A, Warruwi (Goulburn Island), 0822, NT","PMB 90, via WINNELLIE, 0821, NT"
wanguri.prim@education.nt.gov.au,Wanguri Primary School,(08) 8927 1655,"46 Gsell St, Wanguri, 0810, NT","PO Box 40519, CASUARINA, 0811, NT"
walungurru.school@education.nt.gov.au,Walungurru School,(08)  8964 6056,"N/A, Walungurru (Kintore), NT","PMB 14, via Alice Springs, 0872, NT"
wagaman.school@education.nt.gov.au,Wagaman Primary School,(08) 8922 6011,"35 Wagaman Tce, Wagaman, 0810, NT","PO Box 40019, CASUARINA, 0811, NT"
wallace.rockhole@education.nt.gov.au,Wallace Rockhole School,(08) 8956 7330,"N/A, Wallace Rockhole, NT","PO Box 2256, Alice Springs, 0871, NT"
admin.urapunga@education.nt.gov.au,Urapunga School,(08) 8975 4645,"Blyth St, Rittarangu (Urapunga), NT","PMB 12, via Katherine, 0852, NT"
